frame,Si1_idx,O_idx,Si2_idx,angle_deg
120,0,96,35,132.7188758722818
120,1,49,12,130.9414689611029
120,1,73,30,136.12282428538623
120,1,97,32,141.02756915450252
120,1,121,31,144.51223115666787
120,2,74,31,133.08119210081972
120,2,98,33,137.40646160224907
120,2,122,30,158.39024804694034
120,3,99,34,143.3277935531217
120,4,76,27,157.9440755530066
120,4,124,28,130.79602978389877
120,5,77,29,145.2424363961123
120,5,125,26,139.85714163038662
120,6,78,26,130.10169266768474
120,6,102,30,139.7376639880192
120,6,126,29,169.37625468343313
120,7,79,28,131.19470017992663
120,7,103,31,148.7193391470971
120,7,127,27,138.77565257560053
120,8,80,35,161.18952419999636
120,8,104,27,138.17810980268533
120,8,128,32,131.2971123908944
120,9,57,13,137.9792872897302
120,9,81,33,134.70003853452468
120,9,105,28,149.53700314992676
120,9,129,34,148.15269449680116
120,10,82,34,143.07062792011368
120,10,106,29,146.7544300289917
120,10,130,33,157.85396681204242
120,11,83,32,146.68099441089132
120,11,107,26,155.8028335000297
120,11,131,35,123.72103282410329
120,12,84,20,144.74832497389818
120,12,108,25,142.97197738634424
120,13,91,16,128.30113533185855
120,13,115,21,149.23032535218684
120,14,60,27,135.69733034539658
120,15,61,26,133.1121692863837
120,16,62,28,156.57868050499764
120,17,63,29,121.46087423978794
120,18,64,35,157.39452983171842
120,19,65,34,130.85216476232355
120,20,66,32,152.78594912769867
120,21,67,33,141.02646895445153
120,23,69,31,131.67604449775214
120,25,71,30,133.46430706280853
130,0,96,35,135.93201333885492
130,1,49,12,145.5602138834671
130,1,73,30,125.00406602388816
130,1,97,32,143.97382072651325
130,1,121,31,142.04630279979486
130,2,74,31,131.58960339661851
130,2,98,33,142.82240756834696
130,2,122,30,156.68358829946217
130,3,99,34,140.38839679932173
130,4,76,27,166.3656668709051
130,4,124,28,127.77318028382064
130,5,77,29,166.10191190859453
130,5,125,26,134.203985937419
130,6,78,26,150.5281958359135
130,6,102,30,152.0243146016328
130,6,126,29,141.41947896615343
130,7,79,28,149.58766675160152
130,7,103,31,143.3694018794258
130,7,127,27,138.29223431551563
130,8,80,35,153.98406139352815
130,8,104,27,142.12200352486985
130,8,128,32,137.29625055930873
130,9,57,13,154.43988671039457
130,9,81,33,136.30499997377763
130,9,105,28,136.60719121331513
130,9,129,34,145.93777212732795
130,10,82,34,144.2355185586186
130,10,106,29,139.9858588960072
130,10,130,33,144.78216980490816
130,11,83,32,135.75238954572507
130,11,107,26,155.03866785290404
130,11,131,35,137.31280492389251
130,12,84,20,164.98506588166757
130,12,108,25,137.24667761735415
130,13,91,16,127.20715339585243
130,13,115,21,138.1798399173007
130,14,60,27,143.3462194512059
130,15,61,26,140.5063236949715
130,16,62,28,147.81153060279823
130,17,63,29,131.79649887465527
130,18,64,35,147.81837317881866
130,19,65,34,129.4931798054086
130,20,66,32,142.09235197737462
